id,project_a,project_b,star_count_a,fork_count_a,star_count_b,fork_count_b
46,Lighthouse: Rust Ethereum consensus client focused on performance  stability  and Eth2 feature implementation.,Go QUIC implementation: performance-optimized  secure  HTTP/3 support  using standard library TLS & generics.,0,0,0,0
49,Lighthouse: Rust Ethereum consensus client focused on performance  stability  and Eth2 feature implementation.,Solidity (solc-js): JavaScript compiler wrapper with TypeScript  Standard JSON I/O  and SMT solver integration.,0,0,0,0
52,JavaScript monorepo for secure Dapp-wallet connections using QR codes and deep links.,Lighthouse: Rust Ethereum consensus client focused on performance  stability  and Eth2 feature implementation.,0,0,0,0
53,JavaScript monorepo for secure Dapp-wallet connections using QR codes and deep links.,Hardhat: Ethereum development environment with Ignition deployments  EDR execution  and pnpm.,0,0,0,0
57,JavaScript monorepo for secure Dapp-wallet connections using QR codes and deep links.,Solidity  an Ethereum smart contract language  enhances Yul IR  SMTChecker  and language features like try-catch.,0,0,0,0
59,JavaScript monorepo for secure Dapp-wallet connections using QR codes and deep links.,Go Ethereum (geth): Leading Ethereum execution client implementing full node functionality  smart contracts  and network protocols.,0,0,0,0
60,JavaScript monorepo for secure Dapp-wallet connections using QR codes and deep links.,Lodestar: TypeScript Ethereum consensus client with performance optimizations and hard fork support (Electra  Deneb).,0,0,0,0
64,JavaScript monorepo for secure Dapp-wallet connections using QR codes and deep links.,JavaScript library for arbitrary-precision decimal arithmetic with TypeScript support and continuous improvements.,0,0,0,0
68,JavaScript monorepo for secure Dapp-wallet connections using QR codes and deep links.,Redux-Saga simplifies async side effects in JavaScript apps using generators  channels  and declarative effects.,0,0,0,0
70,JavaScript monorepo for secure Dapp-wallet connections using QR codes and deep links.,React Hooks library for remote data fetching  featuring mutations  pagination  and Suspense.,0,0,0,0
71,JavaScript monorepo for secure Dapp-wallet connections using QR codes and deep links.,Pytest: Python testing framework with focus on performance  extensibility  and modern Python features.,0,0,0,0
74,JavaScript monorepo for secure Dapp-wallet connections using QR codes and deep links.,Performant CSS-in-JS library (Emotion) in TypeScript  featuring improved JSX runtime  Stylis v4  and enhanced DX.,0,0,0,0
77,JavaScript monorepo for secure Dapp-wallet connections using QR codes and deep links.,Rust command-line parser clap offers dynamic completion  enhanced help  and optimized value parsing.,0,0,0,0
81,JavaScript monorepo for secure Dapp-wallet connections using QR codes and deep links.,SWC: Fast Rust-based TypeScript/JavaScript compiler with a bundler  minifier  and plugin support.,0,0,0,0
88,JavaScript monorepo for secure Dapp-wallet connections using QR codes and deep links.,Gulp.js: Streaming build system using Node.js with ESM support  updated docs  and active maintenance.,0,0,0,0
89,JavaScript monorepo for secure Dapp-wallet connections using QR codes and deep links.,TypeScript-based ESLint parser and plugin for enhanced linting of TS code  using ESTree AST and custom rules.,0,0,0,0
94,JavaScript monorepo for secure Dapp-wallet connections using QR codes and deep links.,Rollup  a JavaScript module bundler  uses SWC for fast  optimized ES module builds with JSX support and enhanced developer experience.,0,0,0,0
97,JavaScript monorepo for secure Dapp-wallet connections using QR codes and deep links.,macOS library providing process information access via automated bindings and a C API.,0,0,0,0
103,JavaScript monorepo for secure Dapp-wallet connections using QR codes and deep links.,Object-schema: A config merging/validation library with subschema support and custom error handling.,0,0,0,0
105,Hardhat: Ethereum development environment with Ignition deployments  EDR execution  and pnpm.,Java Ethereum client Teku supports Beacon Chain  validator functions  and Deneb/EIP-4844 upgrade.,0,0,0,0
109,Hardhat: Ethereum development environment with Ignition deployments  EDR execution  and pnpm.,Lodestar: TypeScript Ethereum consensus client with performance optimizations and hard fork support (Electra  Deneb).,0,0,0,0
110,Hardhat: Ethereum development environment with Ignition deployments  EDR execution  and pnpm.,High-performance  modular Ethereum Virtual Machine (EVM) in Rust supporting EIPs and L2s like Optimism.,0,0,0,0
112,Hardhat: Ethereum development environment with Ignition deployments  EDR execution  and pnpm.,Rust Ethereum 'core' provides Solidity macro  dynamic ABI  primitives  and EIP-712 support.,0,0,0,0
121,Vyper: Pythonic smart contract language with Venom IR  Cancun EVM support  and enhanced optimizations.,Prettier plugin for Solidity formatting  supporting latest Prettier & Node.js with continuous improvements.,0,0,0,0
125,Vyper: Pythonic smart contract language with Venom IR  Cancun EVM support  and enhanced optimizations.,Lodestar: TypeScript Ethereum consensus client with performance optimizations and hard fork support (Electra  Deneb).,0,0,0,0
135,Vyper: Pythonic smart contract language with Venom IR  Cancun EVM support  and enhanced optimizations.,Reth: Rust Ethereum execution client featuring Alloy integration  a new engine API  and Optimism support.,0,0,0,0
136,Vyper: Pythonic smart contract language with Venom IR  Cancun EVM support  and enhanced optimizations.,Rust Ethereum 'core' provides Solidity macro  dynamic ABI  primitives  and EIP-712 support.,0,0,0,0
140,Vyper: Pythonic smart contract language with Venom IR  Cancun EVM support  and enhanced optimizations.,Erigon: Fast Ethereum client with Polygon integration  optimized database  and Caplin beacon sync.,0,0,0,0
142,Vyper: Pythonic smart contract language with Venom IR  Cancun EVM support  and enhanced optimizations.,Solidity (solc-js): JavaScript compiler wrapper with TypeScript  Standard JSON I/O  and SMT solver integration.,0,0,0,0
145,Hardhat plugin simplifies contract deployments  upgrades  and cross-chain management using deterministic proxies and diamonds.,JavaScript monorepo for secure Dapp-wallet connections using QR codes and deep links.,0,0,0,0
150,Hardhat plugin simplifies contract deployments  upgrades  and cross-chain management using deterministic proxies and diamonds.,Prettier plugin for Solidity formatting  supporting latest Prettier & Node.js with continuous improvements.,0,0,0,0
153,Hardhat plugin simplifies contract deployments  upgrades  and cross-chain management using deterministic proxies and diamonds.,Go Ethereum (geth): Leading Ethereum execution client implementing full node functionality  smart contracts  and network protocols.,0,0,0,0
158,Hardhat plugin simplifies contract deployments  upgrades  and cross-chain management using deterministic proxies and diamonds.,Solhint: Solidity linter for security & style  featuring gas optimization  autofixes  and plugins.,0,0,0,0
163,Hardhat plugin simplifies contract deployments  upgrades  and cross-chain management using deterministic proxies and diamonds.,Ethereum ERC-4337 account abstraction implementation with gas optimization and enhanced security.,0,0,0,0
167,Hardhat plugin simplifies contract deployments  upgrades  and cross-chain management using deterministic proxies and diamonds.,Reth: Rust Ethereum execution client featuring Alloy integration  a new engine API  and Optimism support.,0,0,0,0
169,JavaScript Ethereum library (ethers.js v6) with enhanced providers  contracts  wallets  and EIP-4844 support.,Java Ethereum client Teku supports Beacon Chain  validator functions  and Deneb/EIP-4844 upgrade.,0,0,0,0
171,JavaScript Ethereum library (ethers.js v6) with enhanced providers  contracts  wallets  and EIP-4844 support.,Remix IDE: Browser-based Solidity/Vyper/Circom IDE with AI features  contract verification  and enhanced UI/UX.,0,0,0,0
174,JavaScript Ethereum library (ethers.js v6) with enhanced providers  contracts  wallets  and EIP-4844 support.,High-performance  modular Ethereum Virtual Machine (EVM) in Rust supporting EIPs and L2s like Optimism.,0,0,0,0
175,JavaScript Ethereum library (ethers.js v6) with enhanced providers  contracts  wallets  and EIP-4844 support.,Axios: Promise-based HTTP client (JS/TS) featuring Fetch adapter  enhanced headers  and strong security.,0,0,0,0
176,JavaScript Ethereum library (ethers.js v6) with enhanced providers  contracts  wallets  and EIP-4844 support.,Browserslist: Node.js tool specifying browser support via queries  optimizing builds with polyfills and prefixes.,0,0,0,0
177,JavaScript Ethereum library (ethers.js v6) with enhanced providers  contracts  wallets  and EIP-4844 support.,Fast JavaScript deep equality check with TypeScript support and optimized performance.,0,0,0,0
178,JavaScript Ethereum library (ethers.js v6) with enhanced providers  contracts  wallets  and EIP-4844 support.,cssnano: A PostCSS-based CSS minifier offering optimized presets  performance enhancements  and modular plugins.,0,0,0,0
179,JavaScript Ethereum library (ethers.js v6) with enhanced providers  contracts  wallets  and EIP-4844 support.,Performant CSS-in-JS library (Emotion) in TypeScript  featuring improved JSX runtime  Stylis v4  and enhanced DX.,0,0,0,0
180,JavaScript Ethereum library (ethers.js v6) with enhanced providers  contracts  wallets  and EIP-4844 support.,ESLint: Pluggable JavaScript linter enhancing DX  performance  and supporting modern JS/TS.,0,0,0,0
184,JavaScript Ethereum library (ethers.js v6) with enhanced providers  contracts  wallets  and EIP-4844 support.,Go library providing GNU Readline-like interactive input with history  autocompletion  and Vim mode.,0,0,0,0
185,JavaScript Ethereum library (ethers.js v6) with enhanced providers  contracts  wallets  and EIP-4844 support.,Electron builds cross-platform desktop apps using Chromium and Node.js  focusing on security  performance  and modern APIs.,0,0,0,0
188,JavaScript Ethereum library (ethers.js v6) with enhanced providers  contracts  wallets  and EIP-4844 support.,JavaScript library for Long integer support  featuring WebAssembly  ESM  and TypeScript compatibility.,0,0,0,0
189,JavaScript Ethereum library (ethers.js v6) with enhanced providers  contracts  wallets  and EIP-4844 support.,Ethereum ERC-4337 account abstraction implementation with gas optimization and enhanced security.,0,0,0,0
193,Solidity  an Ethereum smart contract language  enhances Yul IR  SMTChecker  and language features like try-catch.,Go Ethereum (geth): Leading Ethereum execution client implementing full node functionality  smart contracts  and network protocols.,0,0,0,0
195,Solidity  an Ethereum smart contract language  enhances Yul IR  SMTChecker  and language features like try-catch.,Lodestar: TypeScript Ethereum consensus client with performance optimizations and hard fork support (Electra  Deneb).,0,0,0,0
196,Solidity  an Ethereum smart contract language  enhances Yul IR  SMTChecker  and language features like try-catch.,Ethereum ERC-4337 account abstraction implementation with gas optimization and enhanced security.,0,0,0,0
197,Solidity  an Ethereum smart contract language  enhances Yul IR  SMTChecker  and language features like try-catch.,Go library for fast Inner Product Arguments (IPA) and multiproofs using Bandersnatch.,0,0,0,0
200,Solidity  an Ethereum smart contract language  enhances Yul IR  SMTChecker  and language features like try-catch.,Erigon: Fast Ethereum client with Polygon integration  optimized database  and Caplin beacon sync.,0,0,0,0
204,Remix IDE: Browser-based Solidity/Vyper/Circom IDE with AI features  contract verification  and enhanced UI/UX.,Lodestar: TypeScript Ethereum consensus client with performance optimizations and hard fork support (Electra  Deneb).,0,0,0,0
209,Go Ethereum (geth): Leading Ethereum execution client implementing full node functionality  smart contracts  and network protocols.,Java Ethereum client Teku supports Beacon Chain  validator functions  and Deneb/EIP-4844 upgrade.,0,0,0,0
211,Go Ethereum (geth): Leading Ethereum execution client implementing full node functionality  smart contracts  and network protocols.,High-performance  modular Ethereum Virtual Machine (EVM) in Rust supporting EIPs and L2s like Optimism.,0,0,0,0
212,Go Ethereum (geth): Leading Ethereum execution client implementing full node functionality  smart contracts  and network protocols.,Ethereum ERC-4337 account abstraction implementation with gas optimization and enhanced security.,0,0,0,0
215,Go Ethereum (geth): Leading Ethereum execution client implementing full node functionality  smart contracts  and network protocols.,Erigon: Fast Ethereum client with Polygon integration  optimized database  and Caplin beacon sync.,0,0,0,0
219,TypeScript Ethereum library with Account Abstraction  WebSocket support  and optimized performance.,Prysm: Go Ethereum consensus client implementing proof-of-stake  sharding  and supporting Eth2 upgrades.,0,0,0,0
220,TypeScript Ethereum library with Account Abstraction  WebSocket support  and optimized performance.,JavaScript monorepo for secure Dapp-wallet connections using QR codes and deep links.,0,0,0,0
221,TypeScript Ethereum library with Account Abstraction  WebSocket support  and optimized performance.,Prettier plugin for Solidity formatting  supporting latest Prettier & Node.js with continuous improvements.,0,0,0,0
222,TypeScript Ethereum library with Account Abstraction  WebSocket support  and optimized performance.,Vyper: Pythonic smart contract language with Venom IR  Cancun EVM support  and enhanced optimizations.,0,0,0,0
227,TypeScript Ethereum library with Account Abstraction  WebSocket support  and optimized performance.,High-performance  modular Ethereum Virtual Machine (EVM) in Rust supporting EIPs and L2s like Optimism.,0,0,0,0
228,TypeScript Ethereum library with Account Abstraction  WebSocket support  and optimized performance.,Java Ethereum client Teku supports Beacon Chain  validator functions  and Deneb/EIP-4844 upgrade.,0,0,0,0
230,TypeScript Ethereum library with Account Abstraction  WebSocket support  and optimized performance.,Solhint: Solidity linter for security & style  featuring gas optimization  autofixes  and plugins.,0,0,0,0
232,TypeScript Ethereum library with Account Abstraction  WebSocket support  and optimized performance.,Python Web3.py library provides asynchronous Ethereum interaction via RPC  contracts  and ENS.,0,0,0,0
234,TypeScript Ethereum library with Account Abstraction  WebSocket support  and optimized performance.,JavaScript IPFS client with ESM  gRPC  TypeScript  and enhanced API for interacting with IPFS nodes.,0,0,0,0
239,TypeScript Ethereum library with Account Abstraction  WebSocket support  and optimized performance.,Go library for fast Inner Product Arguments (IPA) and multiproofs using Bandersnatch.,0,0,0,0
240,TypeScript Ethereum library with Account Abstraction  WebSocket support  and optimized performance.,Go-libp2p: Modular P2P networking stack using QUIC  WebRTC  with enhanced security  performance  and resource management.,0,0,0,0
241,TypeScript Ethereum library with Account Abstraction  WebSocket support  and optimized performance.,Reth: Rust Ethereum execution client featuring Alloy integration  a new engine API  and Optimism support.,0,0,0,0
247,OpenZeppelin Contracts: Secure Solidity smart contract library for ERC standards  access control  and upgradeability.,High-performance  modular Ethereum Virtual Machine (EVM) in Rust supporting EIPs and L2s like Optimism.,0,0,0,0
248,OpenZeppelin Contracts: Secure Solidity smart contract library for ERC standards  access control  and upgradeability.,Hardhat: Ethereum development environment with Ignition deployments  EDR execution  and pnpm.,0,0,0,0
252,OpenZeppelin Contracts: Secure Solidity smart contract library for ERC standards  access control  and upgradeability.,Remix IDE: Browser-based Solidity/Vyper/Circom IDE with AI features  contract verification  and enhanced UI/UX.,0,0,0,0
255,OpenZeppelin Contracts: Secure Solidity smart contract library for ERC standards  access control  and upgradeability.,Go library for fast Inner Product Arguments (IPA) and multiproofs using Bandersnatch.,0,0,0,0
257,OpenZeppelin Contracts: Secure Solidity smart contract library for ERC standards  access control  and upgradeability.,Rust Ethereum 'core' provides Solidity macro  dynamic ABI  primitives  and EIP-712 support.,0,0,0,0
258,Solhint: Solidity linter for security & style  featuring gas optimization  autofixes  and plugins.,JavaScript Ethereum library (ethers.js v6) with enhanced providers  contracts  wallets  and EIP-4844 support.,0,0,0,0
260,Solhint: Solidity linter for security & style  featuring gas optimization  autofixes  and plugins.,OpenZeppelin Contracts: Secure Solidity smart contract library for ERC standards  access control  and upgradeability.,0,0,0,0
264,Solhint: Solidity linter for security & style  featuring gas optimization  autofixes  and plugins.,Prettier plugin for Solidity formatting  supporting latest Prettier & Node.js with continuous improvements.,0,0,0,0
267,Solhint: Solidity linter for security & style  featuring gas optimization  autofixes  and plugins.,Go Ethereum (geth): Leading Ethereum execution client implementing full node functionality  smart contracts  and network protocols.,0,0,0,0
271,Solhint: Solidity linter for security & style  featuring gas optimization  autofixes  and plugins.,Rust Ethereum 'core' provides Solidity macro  dynamic ABI  primitives  and EIP-712 support.,0,0,0,0
273,Solhint: Solidity linter for security & style  featuring gas optimization  autofixes  and plugins.,JavaScript IPFS client with ESM  gRPC  TypeScript  and enhanced API for interacting with IPFS nodes.,0,0,0,0
275,Python Web3.py library provides asynchronous Ethereum interaction via RPC  contracts  and ENS.,OpenZeppelin Contracts: Secure Solidity smart contract library for ERC standards  access control  and upgradeability.,0,0,0,0
277,Python Web3.py library provides asynchronous Ethereum interaction via RPC  contracts  and ENS.,Solidity  an Ethereum smart contract language  enhances Yul IR  SMTChecker  and language features like try-catch.,0,0,0,0
279,Python Web3.py library provides asynchronous Ethereum interaction via RPC  contracts  and ENS.,Lighthouse: Rust Ethereum consensus client focused on performance  stability  and Eth2 feature implementation.,0,0,0,0
280,Python Web3.py library provides asynchronous Ethereum interaction via RPC  contracts  and ENS.,Remix IDE: Browser-based Solidity/Vyper/Circom IDE with AI features  contract verification  and enhanced UI/UX.,0,0,0,0
283,Python Web3.py library provides asynchronous Ethereum interaction via RPC  contracts  and ENS.,Hardhat: Ethereum development environment with Ignition deployments  EDR execution  and pnpm.,0,0,0,0
284,Python Web3.py library provides asynchronous Ethereum interaction via RPC  contracts  and ENS.,BLST: Fast pairing-friendly elliptic curve crypto library with multi-language bindings and security focus.,0,0,0,0
289,Python Web3.py library provides asynchronous Ethereum interaction via RPC  contracts  and ENS.,Vyper: Pythonic smart contract language with Venom IR  Cancun EVM support  and enhanced optimizations.,0,0,0,0
290,Python Web3.py library provides asynchronous Ethereum interaction via RPC  contracts  and ENS.,Efficient Nim-based Ethereum client supporting Capella  Deneb  Electra  and light clients.,0,0,0,0
292,Python Web3.py library provides asynchronous Ethereum interaction via RPC  contracts  and ENS.,High-performance  modular Ethereum Virtual Machine (EVM) in Rust supporting EIPs and L2s like Optimism.,0,0,0,0
296,JavaScript IPFS client with ESM  gRPC  TypeScript  and enhanced API for interacting with IPFS nodes.,Lodestar: TypeScript Ethereum consensus client with performance optimizations and hard fork support (Electra  Deneb).,0,0,0,0
297,JavaScript IPFS client with ESM  gRPC  TypeScript  and enhanced API for interacting with IPFS nodes.,Solidity  an Ethereum smart contract language  enhances Yul IR  SMTChecker  and language features like try-catch.,0,0,0,0
299,JavaScript IPFS client with ESM  gRPC  TypeScript  and enhanced API for interacting with IPFS nodes.,Remix IDE: Browser-based Solidity/Vyper/Circom IDE with AI features  contract verification  and enhanced UI/UX.,0,0,0,0
300,JavaScript IPFS client with ESM  gRPC  TypeScript  and enhanced API for interacting with IPFS nodes.,Rust Ethereum 'core' provides Solidity macro  dynamic ABI  primitives  and EIP-712 support.,0,0,0,0
310,Mocha: JavaScript test framework with async support  rich matchers  and a flexible reporter API.,JavaScript library for arbitrary-precision decimal arithmetic with TypeScript support and continuous improvements.,0,0,0,0
314,Mocha: JavaScript test framework with async support  rich matchers  and a flexible reporter API.,Performant CSS-in-JS library (Emotion) in TypeScript  featuring improved JSX runtime  Stylis v4  and enhanced DX.,0,0,0,0
315,Mocha: JavaScript test framework with async support  rich matchers  and a flexible reporter API.,Coinbase Wallet SDK: Connect dApps via WalletLink  injected providers  and smart wallets (iOS/Android).,0,0,0,0
316,Mocha: JavaScript test framework with async support  rich matchers  and a flexible reporter API.,Go iterative process tool with module support; sporadically maintained  limited testing.,0,0,0,0
319,Mocha: JavaScript test framework with async support  rich matchers  and a flexible reporter API.,Node.js stream piping utility with environment variable configuration and broad compatibility.,0,0,0,0
322,Mocha: JavaScript test framework with async support  rich matchers  and a flexible reporter API.,macOS library providing process information access via automated bindings and a C API.,0,0,0,0
323,Mocha: JavaScript test framework with async support  rich matchers  and a flexible reporter API.,JavaScript immutable state management library with TypeScript  focused on performance and featuring patches.,0,0,0,0
325,Mocha: JavaScript test framework with async support  rich matchers  and a flexible reporter API.,Fast  minimalist Node.js web framework with routing  middleware  and asynchronous support.,0,0,0,0
326,Mocha: JavaScript test framework with async support  rich matchers  and a flexible reporter API.,Fast JSON Schema validator with TypeScript support  focused on performance and strictness.,0,0,0,0
332,Mocha: JavaScript test framework with async support  rich matchers  and a flexible reporter API.,A querystring parsing and stringifying library with some added security. Lead Maintainer: Jordan Harband. The qs module was originally created and maintained by TJ Holowaychuk.,0,0,0,0
333,Mocha: JavaScript test framework with async support  rich matchers  and a flexible reporter API.,Fast JavaScript deep equality check with TypeScript support and optimized performance.,0,0,0,0
344,Mocha: JavaScript test framework with async support  rich matchers  and a flexible reporter API.,CLI tool in Go for generating optimized addition chains for cryptographic scalar multiplication.,0,0,0,0
347,Mocha: JavaScript test framework with async support  rich matchers  and a flexible reporter API.,Fast JS/TS linter  formatter  and codemod tool with HTML  CSS  GraphQL support and a VS Code extension.,0,0,0,0
351,Gulp.js: Streaming build system using Node.js with ESM support  updated docs  and active maintenance.,Node.js/browser debugging utility with color output  namespace filtering  and formatters.,0,0,0,0
352,Gulp.js: Streaming build system using Node.js with ESM support  updated docs  and active maintenance.,Babel is a JavaScript compiler transforming ES6+ to ES5  enabling modern JS features in older browsers.,0,0,0,0
355,Gulp.js: Streaming build system using Node.js with ESM support  updated docs  and active maintenance.,SVGR transforms SVGs into React components  offering flexible configuration and build tool support.,0,0,0,0
359,Gulp.js: Streaming build system using Node.js with ESM support  updated docs  and active maintenance.,ESLint: Pluggable JavaScript linter enhancing DX  performance  and supporting modern JS/TS.,0,0,0,0
362,Gulp.js: Streaming build system using Node.js with ESM support  updated docs  and active maintenance.,cssnano: A PostCSS-based CSS minifier offering optimized presets  performance enhancements  and modular plugins.,0,0,0,0
366,Gulp.js: Streaming build system using Node.js with ESM support  updated docs  and active maintenance.,Rust command-line parser clap offers dynamic completion  enhanced help  and optimized value parsing.,0,0,0,0
367,Gulp.js: Streaming build system using Node.js with ESM support  updated docs  and active maintenance.,Fast HTML entity encoder/decoder (TypeScript  ESM) with trie-based optimization and improved tree shaking.,0,0,0,0
368,Gulp.js: Streaming build system using Node.js with ESM support  updated docs  and active maintenance.,Fast JavaScript deep equality check with TypeScript support and optimized performance.,0,0,0,0
369,Gulp.js: Streaming build system using Node.js with ESM support  updated docs  and active maintenance.,Axios: Promise-based HTTP client (JS/TS) featuring Fetch adapter  enhanced headers  and strong security.,0,0,0,0
371,Gulp.js: Streaming build system using Node.js with ESM support  updated docs  and active maintenance.,Node.js Snappy compression/decompression library focused on performance  cross-platform compatibility  and maintenance.,0,0,0,0
372,Gulp.js: Streaming build system using Node.js with ESM support  updated docs  and active maintenance.,JavaScript error & performance monitoring SDK with OpenTelemetry integration  focusing on DX and reduced bundle size.,0,0,0,0
388,Webpack: JavaScript module bundler with CSS Modules  Module Federation  and performance optimizations.,RxJS: Reactive programming library with improved performance  new features  and TypeScript support.,0,0,0,0
394,Webpack: JavaScript module bundler with CSS Modules  Module Federation  and performance optimizations.,SVGR transforms SVGs into React components  offering flexible configuration and build tool support.,0,0,0,0
403,Webpack: JavaScript module bundler with CSS Modules  Module Federation  and performance optimizations.,JavaScript library for Long integer support  featuring WebAssembly  ESM  and TypeScript compatibility.,0,0,0,0
408,Webpack: JavaScript module bundler with CSS Modules  Module Federation  and performance optimizations.,React 19: JavaScript framework with Forget compiler  Flight server components  Float renderer  and DevTools 6.,0,0,0,0
409,Webpack: JavaScript module bundler with CSS Modules  Module Federation  and performance optimizations.,cssnano: A PostCSS-based CSS minifier offering optimized presets  performance enhancements  and modular plugins.,0,0,0,0
411,Webpack: JavaScript module bundler with CSS Modules  Module Federation  and performance optimizations.,macOS library providing process information access via automated bindings and a C API.,0,0,0,0
412,Webpack: JavaScript module bundler with CSS Modules  Module Federation  and performance optimizations.,JavaScript immutable state management library with TypeScript  focused on performance and featuring patches.,0,0,0,0
415,Webpack: JavaScript module bundler with CSS Modules  Module Federation  and performance optimizations.,Pytest: Python testing framework with focus on performance  extensibility  and modern Python features.,0,0,0,0
416,Webpack: JavaScript module bundler with CSS Modules  Module Federation  and performance optimizations.,Node.js module loads .env files  supports multi-line values  error handling  and secure .env.vault files.,0,0,0,0
417,Webpack: JavaScript module bundler with CSS Modules  Module Federation  and performance optimizations.,Go WebRTC library enabling P2P communication with simulcast  data channels  and WASM support.,0,0,0,0
421,Webpack: JavaScript module bundler with CSS Modules  Module Federation  and performance optimizations.,Browserslist: Node.js tool specifying browser support via queries  optimizing builds with polyfills and prefixes.,0,0,0,0
423,Webpack: JavaScript module bundler with CSS Modules  Module Federation  and performance optimizations.,Node.js Fetch API implementation with streaming  redirects  and modern ESM support.,0,0,0,0
424,Webpack: JavaScript module bundler with CSS Modules  Module Federation  and performance optimizations.,Go library detects terminal connections across diverse OS (Windows  macOS  Linux  BSD  etc.).,0,0,0,0
431,Webpack: JavaScript module bundler with CSS Modules  Module Federation  and performance optimizations.,Axios: Promise-based HTTP client (JS/TS) featuring Fetch adapter  enhanced headers  and strong security.,0,0,0,0
433,Webpack: JavaScript module bundler with CSS Modules  Module Federation  and performance optimizations.,NumPy: Scientific computing library for Python with multi-dimensional arrays  linear algebra  and optimized numerical operations.,0,0,0,0
434,Webpack: JavaScript module bundler with CSS Modules  Module Federation  and performance optimizations.,Node.js library with TypeScript support  focused on dependency management and maintenance.,0,0,0,0
436,Webpack: JavaScript module bundler with CSS Modules  Module Federation  and performance optimizations.,Node.js Snappy compression/decompression library focused on performance  cross-platform compatibility  and maintenance.,0,0,0,0
437,Webpack: JavaScript module bundler with CSS Modules  Module Federation  and performance optimizations.,ESLint plugin enforcing import best practices  resolving paths  with TypeScript support and performance optimizations.,0,0,0,0
439,Webpack: JavaScript module bundler with CSS Modules  Module Federation  and performance optimizations.,AbortController polyfill for consistent cross-browser AbortSignal/AbortController API usage (TypeScript).,0,0,0,0
440,Webpack: JavaScript module bundler with CSS Modules  Module Federation  and performance optimizations.,JavaScript error & performance monitoring SDK with OpenTelemetry integration  focusing on DX and reduced bundle size.,0,0,0,0
443,Webpack: JavaScript module bundler with CSS Modules  Module Federation  and performance optimizations.,Multilingual spellchecker with CLI & editor integrations  optimized for performance  actively maintained.,0,0,0,0
444,Webpack: JavaScript module bundler with CSS Modules  Module Federation  and performance optimizations.,Boa: A high-performance  embeddable JavaScript engine written in Rust  featuring a CLI and modules.,0,0,0,0
450,Webpack: JavaScript module bundler with CSS Modules  Module Federation  and performance optimizations.,CLI tool in Go for generating optimized addition chains for cryptographic scalar multiplication.,0,0,0,0
451,Webpack: JavaScript module bundler with CSS Modules  Module Federation  and performance optimizations.,Node.js library providing Git's .gitignore functionality with TypeScript support and robust pattern matching.,0,0,0,0
